file_id,truth,estimate,fold
Train1.csv,Normal,Normal,1
Train2.csv,Side II,Side II,4
Train3.csv,Normal,Normal,4
Train4.csv,Normal,Normal,4
Train5.csv,Normal,Normal,1
Train6.csv,Normal,Normal,4
Train7.csv,Normal,Normal,4
Train8.csv,Normal,Normal,3
Train9.csv,Normal,Normal,1
Train10.csv,Normal,Normal,2
Train11.csv,Normal,Normal,4
Train12.csv,Side II,Side II,4
Train13.csv,Normal,Normal,3
Train14.csv,Normal,Normal,1
Train15.csv,Normal,Normal,3
Train16.csv,Normal,Normal,3
Train17.csv,Normal,Normal,3
Train18.csv,Normal,Normal,2
Train19.csv,Normal,Normal,2
Train20.csv,Normal,Normal,4
Train21.csv,Normal,Normal,3
Train22.csv,Normal,Normal,0
Train23.csv,Normal,Normal,1
Train24.csv,Normal,Normal,2
Train25.csv,Normal,Normal,4
Train26.csv,Side II,Side II,3
Train27.csv,Normal,Normal,4
Train28.csv,Normal,Normal,0
Train29.csv,Normal,Normal,2
Train30.csv,Side II,Side II,2
Train31.csv,Normal,Normal,3
Train32.csv,Normal,Normal,1
Train33.csv,Normal,Normal,3
Train34.csv,Normal,Normal,0
Train35.csv,Normal,Normal,0
Train36.csv,Normal,Normal,4
Train37.csv,Normal,Normal,3
Train38.csv,Normal,Normal,3
Train39.csv,Normal,Normal,0
Train40.csv,Normal,Normal,2
Train41.csv,Normal,Normal,4
Train42.csv,Normal,Normal,2
Train43.csv,Side II,Side II,1
Train44.csv,Normal,Side II,1
Train45.csv,Normal,Normal,0
Train46.csv,Normal,Normal,1
Train47.csv,Normal,Normal,2
Train48.csv,Normal,Normal,0
Train49.csv,Normal,Normal,0
Train50.csv,Normal,Normal,3
Train51.csv,Normal,Normal,0
Train52.csv,Normal,Normal,0
Train53.csv,Side II,Side II,0
Train54.csv,Normal,Normal,3
Train55.csv,Normal,Normal,0
Train56.csv,Normal,Normal,2
Train57.csv,Normal,Normal,1
Train58.csv,Normal,Normal,4
Train59.csv,Normal,Normal,1
Train60.csv,Normal,Side II,4
Train61.csv,Normal,Normal,4
Train62.csv,Side I,Side I,3
Train63.csv,Normal,Normal,0
Train64.csv,Normal,Normal,1
Train65.csv,Normal,Normal,4
Train66.csv,Normal,Normal,3
Train67.csv,Normal,Normal,2
Train68.csv,Normal,Normal,2
Train69.csv,Normal,Normal,4
Train70.csv,Normal,Normal,4
Train71.csv,Normal,Normal,0
Train72.csv,Side II,Side II,2
Train73.csv,Normal,Normal,0
Train74.csv,Normal,Normal,1
Train75.csv,Normal,Normal,4
Train76.csv,Normal,Normal,3
Train77.csv,Normal,Normal,2
Train78.csv,Normal,Normal,3
Train79.csv,Normal,Normal,0
Train80.csv,Normal,Normal,3
Train81.csv,Normal,Normal,0
